date,temp_c,humidity,wind_speed
2019-01-01,24.0,40.0,8.9
2019-01-02,36.2,90.0,17.4
2019-01-03,35.5,91.0,11.0
2019-01-04,35.8,93.0,7.7
2019-01-05,35.8,100.0,6.8
2019-01-06,28.1,54.0,23.5
2019-01-07,23.5,40.0,19.1
2019-01-08,24.0,38.0,10.5
2019-01-09,36.7,97.0,19.4
2019-01-10,22.4,46.0,24.7
2019-01-11,21.2,35.0,21.6
2019-01-12,15.3,9.0,18.5
2019-01-13,12.9,3.0,25.5
2019-01-14,11.9,0.0,15.7
2019-01-15,24.0,49.0,16.9
2019-01-16,26.0,51.0,15.1
2019-01-17,17.1,21.0,13.5
2019-01-18,14.6,9.0,12.1
2019-01-19,16.7,18.0,7.3
2019-01-20,32.1,85.0,16.2
2019-01-21,31.9,79.0,14.1
2019-01-22,35.1,94.0,21.9
2019-01-23,31.4,72.0,25.6
2019-01-24,31.4,72.0,13.9
2019-01-25,30.6,67.0,15.8
2019-01-26,26.6,56.0,19.6
2019-01-27,17.6,23.0,17.9
2019-01-28,25.2,51.0,13.1
2019-01-29,27.4,59.0,21.3
2019-01-30,28.4,69.0,26.4
2019-01-31,26.0,65.0,23.8
2019-02-01,28.2,72.0,20.1
2019-02-02,33.0,87.0,8.8
2019-02-03,32.9,88.0,6.9
2019-02-04,30.7,77.0,8.2
2019-02-05,29.8,77.0,18.1
2019-02-06,26.6,64.0,18.0
2019-02-07,27.9,61.0,17.7
2019-02-08,23.9,49.0,17.6
2019-02-09,25.6,55.0,23.8
2019-02-10,17.6,21.0,18.5
2019-02-11,21.5,44.0,16.0
2019-02-12,21.2,36.0,15.5
2019-02-13,30.3,72.0,16.5
2019-02-14,33.0,84.0,19.8
2019-02-15,26.8,63.0,17.5
2019-02-16,23.5,53.0,15.8
2019-02-17,26.9,61.0,10.9
2019-02-18,26.6,59.0,22.1
2019-02-19,21.9,30.0,11.6
2019-02-20,27.0,68.0,4.2
2019-02-21,34.1,89.0,13.3
2019-02-22,35.0,93.0,8.5
2019-02-23,34.9,98.0,9.1
2019-02-24,26.4,63.0,15.3
2019-02-25,22.9,49.0,9.4
2019-02-26,31.7,86.0,18.5
2019-02-27,21.5,42.0,24.5
2019-02-28,21.7,36.0,10.0
2019-03-01,16.0,19.0,21.3
2019-03-02,19.7,32.0,10.7
2019-03-03,23.0,41.0,18.9
2019-03-04,19.4,27.0,12.5
2019-03-05,19.9,27.0,8.5
2019-03-06,20.2,27.0,11.5
2019-03-07,22.5,37.0,12.9
2019-03-08,27.0,55.0,9.2
2019-03-09,27.0,57.0,6.0
2019-03-10,26.0,60.0,3.5
2019-03-11,28.4,65.0,3.6
2019-03-12,26.4,61.0,14.8
2019-03-13,24.6,45.0,5.7
2019-03-14,25.6,54.0,13.6
2019-03-15,19.3,28.0,12.4
2019-03-16,16.5,21.0,11.0
2019-03-17,23.8,51.0,19.8
2019-03-18,20.4,34.0,11.1
2019-03-19,31.0,83.0,16.9
2019-03-20,29.4,67.0,13.2
2019-03-21,18.4,36.0,19.8
2019-03-22,21.3,37.0,24.0
2019-03-23,19.7,39.0,30.2
2019-03-24,22.8,44.0,7.1
2019-03-25,20.5,29.0,14.3
2019-03-26,31.5,80.0,19.4
2019-03-27,32.6,75.0,22.6
2019-03-28,20.8,37.0,15.9
2019-03-29,18.5,33.0,19.9
2019-03-30,19.5,31.0,19.6
2019-03-31,27.6,58.0,8.4
2019-04-01,25.2,51.0,12.0
2019-04-02,21.6,35.0,19.1
2019-04-03,24.5,49.0,13.1
2019-04-04,32.6,83.0,16.5
2019-04-05,31.6,79.0,7.9
2019-04-06,26.0,44.0,13.8
2019-04-07,28.9,59.0,6.9
2019-04-08,30.9,67.0,6.4
2019-04-09,32.1,80.0,8.0
2019-04-10,33.2,80.0,11.5
2019-04-11,33.0,87.0,9.5
2019-04-12,34.3,96.0,9.7
2019-04-13,34.0,95.0,10.1
2019-04-14,34.7,97.0,12.4
2019-04-15,35.2,97.0,10.8
2019-04-16,35.1,98.0,11.5
